# WindSpeed_m/s,Power_Watts,ThrustCoeff_Ct,RotorSpeed_rev/min
0.100,0.024,0.754,29.709
0.253,0.389,0.754,75.054
0.405,1.712,0.767,120.399
0.558,4.866,0.792,165.745
0.711,10.468,0.804,211.090
0.863,19.221,0.810,256.435
1.016,31.845,0.813,301.780
1.168,49.048,0.816,347.126
1.321,71.535,0.817,392.471
1.474,100.086,0.817,437.816
1.626,135.544,0.817,483.161
1.779,178.738,0.817,528.507
1.932,230.412,0.817,573.852
2.084,291.171,0.817,619.197
2.237,361.471,0.819,664.542
2.389,441.399,0.820,709.887
2.542,531.536,0.821,755.233
2.695,632.697,0.821,800.578
2.847,745.731,0.821,845.923
3.000,871.535,0.821,891.268
