# r_R,chord,pre-twist,sweep
0.235,0.052,19.415,0.000
0.261,0.048,15.804,0.000
0.287,0.045,13.374,0.000
0.313,0.043,11.582,0.000
0.339,0.040,10.203,0.000
0.365,0.038,9.113,0.000
0.391,0.036,8.221,0.000
0.417,0.034,7.486,0.000
0.443,0.033,6.874,0.000
0.468,0.031,6.361,0.000
0.494,0.030,5.927,0.000
0.520,0.029,5.558,0.000
0.546,0.028,5.241,0.000
0.572,0.027,4.967,0.000
0.598,0.026,4.729,0.000
0.624,0.025,4.525,0.000
0.650,0.025,4.346,0.000
0.676,0.024,4.187,0.000
0.702,0.023,4.042,0.000
0.728,0.023,3.913,0.000
0.754,0.023,3.795,0.000
0.780,0.022,3.685,0.000
0.805,0.022,3.580,0.000
0.832,0.022,3.481,0.000
0.857,0.022,3.384,0.000
0.883,0.021,3.287,0.000
0.909,0.021,3.191,0.000
0.935,0.021,3.092,0.000
0.961,0.021,2.993,0.000
0.987,0.021,2.887,0.000
